# frame_index,label
0,3
1,2
2,3
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,1
11,3
12,1
13,1
14,2
15,3
16,2
17,3
18,5
19,4
20,4
21,2
22,1
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,0
31,2
32,5
33,2
34,3
35,2
36,5
37,2
38,2
39,2
40,5
41,5
42,5
43,1
44,2
45,3
46,3
47,2
48,2
49,2
50,3
51,3
52,3
53,1
54,1
55,1
56,2
57,2
58,5
59,1
60,2
61,2
62,4
63,4
64,2
65,3
66,2
67,2
68,3
69,3
70,2
71,2
72,1
73,1
74,2
75,4
76,4
77,4
78,5
79,5
80,5
81,3
82,5
83,2
84,2
85,4
86,2
87,2
88,1
89,1
90,4
91,2
92,1
93,2
94,2
95,2
96,1
97,2
98,1
99,1
100,0
101,0
102,4
103,3
104,3
105,2
106,2
107,2
108,5
109,5
110,2
111,5
112,2
113,2
114,2
115,2
116,0
117,4
118,4
119,4
120,4
121,4
122,4
123,2
124,2
125,1
126,5
127,5
128,2
129,2
130,4
131,1
132,1
133,2
134,1
135,4
136,5
137,5
138,5
139,5
140,5
141,5
142,1
143,1
144,1
145,5
146,5
147,3
148,2
149,1
150,1
151,5
152,5
153,0
154,0
155,0
156,0
157,5
158,5
159,5
160,5
161,5
162,2
163,0
164,0
165,2
166,5
167,2
168,5
169,0
170,0
171,5
172,0
173,5
174,0
175,5
176,0
177,5
178,4
179,4
180,1
181,4
182,3
183,4
184,3
185,2
186,2
187,2
188,0
189,5
190,5
191,5
192,4
193,0
194,5
195,0
196,0
197,5
198,4
199,4
200,5
201,0
202,5
203,5
204,0
205,0
206,5
207,0
208,0
209,0
210,0
211,0
212,3
213,4
214,2
215,3
216,3
217,5
218,5
219,3
220,4
221,4
222,5
223,3
224,5
225,5
226,0
227,5
228,2
229,5
230,5
231,2
232,4
233,4
234,4
235,4
236,4
237,0
238,5
239,5
240,4
241,1
242,0
243,5
244,0
245,0
246,0
247,4
248,0
249,5
250,5
251,4
252,4
253,4
254,0
255,5
256,0
257,2
258,2
259,4
260,4
261,1
262,1
263,4
264,2
265,2
266,5
267,2
268,1
269,2
270,2
271,2
272,5
273,5
274,5
275,3
276,5
277,5
278,2
279,2
280,5
281,5
282,5
283,5
284,1
285,2
286,1
287,1
288,3
289,4
290,4
291,2
292,3
293,5
294,4
295,4
296,4
297,1
298,4
299,2
300,0
301,4
302,4
303,4
304,4
305,4
306,1
307,5
308,5
309,5
310,4
311,1
312,5
313,5
314,1
315,1
316,4
317,4
318,5
319,2
320,5
321,5
322,5
323,1
324,3
325,5
326,3
327,5
328,3
329,5
330,1
331,3
332,3
333,2
334,0
335,1
336,2
337,3
338,2
339,3
340,2
341,2
342,3
343,0
344,1
345,3
346,5
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,3
355,3
356,2
357,2
358,4
359,4
360,4
361,4
362,4
363,1
364,2
365,2
366,2
367,5
368,5
369,2
370,2
371,1
372,1
373,2
374,5
375,4
376,4
377,2
378,5
379,5
380,4
381,5
382,5
383,4
384,5
385,4
386,3
387,2
388,2
389,5
390,2
391,5
392,5
393,1
394,1
395,1
396,5
397,2
398,2
399,5
400,1
401,2
402,1
403,2
404,2
405,5
406,2
407,2
408,1
409,4
410,5
411,1
412,1
413,2
414,2
415,2
416,1
417,2
418,5
419,5
420,3
421,1
422,3
423,4
424,0
425,2
426,2
427,2
428,1
429,1
430,1
431,2
432,1
433,1
434,2
435,1
436,5
437,1
438,1
439,5
440,4
441,1
442,2
443,1
444,1
445,1
446,3
447,1
448,5
449,1
450,1
451,5
452,2
453,4
454,1
455,3
456,1
457,3
458,1
459,5
460,1
461,1
462,1
463,1
464,3
465,5
466,5
467,1
468,3
469,0
470,5
471,5
472,5
473,1
474,1
475,0
476,0
477,5
478,5
479,2
480,4
481,1
482,2
483,2
484,4
485,2
486,2
487,2
488,1
489,2
490,4
491,2
492,1
493,4
494,2
495,2
496,5
497,2
498,1
499,4
500,2
501,2
