level,cluster_index,population,msd
1,0,2504,5.89206
1,1,3497,6.48489
2,0,2504,5.89206
2,1,2416,5.94610
2,2,1081,3.85813
3,0,2416,5.94610
3,1,1081,3.85813
3,2,1084,4.43910
3,3,1420,5.76273
4,0,1081,3.85813
4,1,1084,4.43910
4,2,1420,5.76273
4,3,452,2.23997
4,4,1964,5.64771
5,0,1081,3.85813
5,1,1084,4.43910
5,2,1420,5.76273
5,3,452,2.23997
5,4,932,5.28761
5,5,1032,4.32200
6,0,1081,3.85813
6,1,1084,4.43910
6,2,452,2.23997
6,3,932,5.28761
6,4,1032,4.32200
6,5,701,5.33168
6,6,719,4.91450
7,0,1081,3.85813
7,1,1084,4.43910
7,2,452,2.23997
7,3,1032,4.32200
7,4,701,5.33168
7,5,719,4.91450
7,6,154,1.00793
7,7,778,5.09807
8,0,1081,3.85813
8,1,452,2.23997
8,2,1032,4.32200
8,3,701,5.33168
8,4,719,4.91450
8,5,154,1.00793
8,6,778,5.09807
8,7,512,4.14805
8,8,572,3.76908
9,0,1081,3.85813
9,1,452,2.23997
9,2,701,5.33168
9,3,719,4.91450
9,4,154,1.00793
9,5,778,5.09807
9,6,512,4.14805
9,7,572,3.76908
9,8,543,3.61765
9,9,489,3.66806
10,0,452,2.23997
10,1,701,5.33168
10,2,719,4.91450
10,3,154,1.00793
10,4,778,5.09807
10,5,512,4.14805
10,6,572,3.76908
10,7,543,3.61765
10,8,489,3.66806
10,9,565,3.80814
10,10,516,1.88518
11,0,452,2.23997
11,1,701,5.33168
11,2,719,4.91450
11,3,154,1.00793
11,4,512,4.14805
11,5,572,3.76908
11,6,543,3.61765
11,7,489,3.66806
11,8,565,3.80814
11,9,516,1.88518
11,10,335,4.71682
11,11,443,4.03829
12,0,452,2.23997
12,1,719,4.91450
12,2,154,1.00793
12,3,512,4.14805
12,4,572,3.76908
12,5,543,3.61765
12,6,489,3.66806
12,7,565,3.80814
12,8,516,1.88518
12,9,335,4.71682
12,10,443,4.03829
12,11,396,4.62919
12,12,305,4.65735
13,0,452,2.23997
13,1,154,1.00793
13,2,512,4.14805
13,3,572,3.76908
13,4,543,3.61765
13,5,489,3.66806
13,6,565,3.80814
13,7,516,1.88518
13,8,335,4.71682
13,9,443,4.03829
13,10,396,4.62919
13,11,305,4.65735
13,12,343,4.41255
13,13,376,4.08963
14,0,452,2.23997
14,1,154,1.00793
14,2,512,4.14805
14,3,543,3.61765
14,4,489,3.66806
14,5,565,3.80814
14,6,516,1.88518
14,7,335,4.71682
14,8,443,4.03829
14,9,396,4.62919
14,10,305,4.65735
14,11,343,4.41255
14,12,376,4.08963
14,13,295,3.31900
14,14,277,3.45861
15,0,452,2.23997
15,1,154,1.00793
15,2,512,4.14805
15,3,543,3.61765
15,4,489,3.66806
15,5,516,1.88518
15,6,335,4.71682
15,7,443,4.03829
15,8,396,4.62919
15,9,305,4.65735
15,10,343,4.41255
15,11,376,4.08963
15,12,295,3.31900
15,13,277,3.45861
15,14,355,4.02425
15,15,210,0.65449
16,0,452,2.23997
16,1,154,1.00793
16,2,543,3.61765
16,3,489,3.66806
16,4,516,1.88518
16,5,335,4.71682
16,6,443,4.03829
16,7,396,4.62919
16,8,305,4.65735
16,9,343,4.41255
16,10,376,4.08963
16,11,295,3.31900
16,12,277,3.45861
16,13,355,4.02425
16,14,210,0.65449
16,15,296,3.72971
16,16,216,3.69111
17,0,452,2.23997
17,1,154,1.00793
17,2,489,3.66806
17,3,516,1.88518
17,4,335,4.71682
17,5,443,4.03829
17,6,396,4.62919
17,7,305,4.65735
17,8,343,4.41255
17,9,376,4.08963
17,10,295,3.31900
17,11,277,3.45861
17,12,355,4.02425
17,13,210,0.65449
17,14,296,3.72971
17,15,216,3.69111
17,16,198,1.84643
