n_clusters,CH_score,DB_score
2,2402.8590975,1.5371361
3,1723.7289510,1.7536706
4,1324.5379703,2.2934638
5,1185.7715379,2.0798621
6,1081.1816686,2.1991397
7,965.8413566,2.2649133
8,880.2674985,2.1393300
9,802.0453231,2.2584412
10,752.1395092,2.2696955
11,733.4536654,2.2293642
12,698.1531198,2.2014929
13,664.3731162,2.1798652
14,636.7004155,2.2254052
15,601.3530413,2.2697634
16,587.6896401,2.2132592
17,560.6781632,2.2666809
18,543.9966194,2.2731123
19,524.8013763,2.2676727
20,509.8145736,2.2716063
21,493.8175407,2.2511964
22,483.0915990,2.2288305
23,468.5173159,2.2267690
24,454.7249717,2.2552567
25,445.1805790,2.2407882
26,439.2689886,2.2155145
27,429.6396268,2.2180748
28,417.6090703,2.2324087
29,406.9746125,2.2570365
30,401.1487291,2.2692708
