# eQual,threshold,5.8,n_clusters,11
# frame,cluster
0,0
1,1
2,2
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,2
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,3
44,1
45,2
46,2
47,1
48,1
49,1
50,0
51,2
52,2
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,1
62,0
63,0
64,1
65,2
66,1
67,1
68,2
69,2
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,2
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,3
93,1
94,1
95,1
96,3
97,1
98,1
99,3
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,7
146,0
147,2
148,2
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,0
161,0
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,1
186,1
187,1
188,4
189,0
190,0
191,0
192,0
193,4
194,0
195,4
196,4
197,0
198,0
199,0
200,0
201,0
202,7
203,7
204,0
205,0
206,2
207,0
208,0
209,4
210,4
211,4
212,0
213,0
214,1
215,0
216,0
217,2
218,2
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,4
246,4
247,0
248,4
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,1
260,1
261,3
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,2
271,2
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,1
285,1
286,1
287,1
288,2
289,0
290,0
291,1
292,2
293,0
294,0
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,1
324,2
325,0
326,2
327,0
328,2
329,0
330,1
331,2
332,2
333,1
334,0
335,8
337,2
338,1
339,2
340,1
341,6
342,2
343,0
344,1
345,2
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,8
357,8
358,0
359,0
360,0
361,0
362,0
363,1
364,6
365,6
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,2
387,2
388,2
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,3
398,5
399,1
400,1
401,2
402,1
403,1
404,2
405,0
406,3
407,5
408,1
409,1
410,0
411,3
412,1
413,2
414,2
415,2
416,3
417,0
418,0
419,0
420,2
421,1
422,2
423,0
424,0
425,0
426,1
427,1
429,1
430,3
431,1
432,3
433,3
434,1
435,1
436,0
437,3
438,3
439,0
440,0
441,1
442,2
443,3
444,3
445,1
446,2
447,1
448,0
449,1
450,3
451,0
452,1
453,1
454,3
455,2
456,1
457,2
458,1
459,2
460,1
461,1
462,1
463,8
464,2
465,0
466,0
467,1
468,2
469,0
470,0
471,0
472,0
473,3
474,1
475,0
476,0
477,0
478,2
479,1
480,1
481,3
482,3
483,1
484,0
485,0
486,8
487,9
488,1
489,1
490,1
491,5
492,3
493,1
494,1
495,5
496,1
497,1
498,1
499,1
500,1
501,5
502,1
503,1
504,1
505,1
506,5
507,0
508,0
509,0
510,1
511,1
512,5
513,1
514,1
515,1
516,3
517,1
518,0
519,1
520,1
521,0
522,5
523,1
524,3
525,3
526,2
527,1
528,2
529,1
530,2
531,2
532,5
533,0
534,0
535,1
536,0
537,1
538,3
539,3
540,3
541,8
542,8
543,0
544,0
545,0
546,1
547,1
548,1
549,3
550,1
551,1
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,2
562,1
563,0
564,2
565,1
566,1
567,1
568,1
569,0
570,0
571,1
572,5
573,1
574,1
575,0
576,1
577,0
578,3
579,3
580,1
581,1
582,1
583,5
584,9
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,1
597,1
598,1
599,5
600,1
601,0
602,5
603,9
604,3
605,3
606,3
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,5
622,5
623,1
624,5
625,0
626,0
627,1
628,1
629,1
630,1
631,1
632,6
633,3
634,1
635,3
636,1
637,0
638,3
639,1
640,1
641,3
642,1
643,1
644,1
645,1
646,1
647,1
648,0
649,1
650,0
651,0
652,1
653,1
654,1
655,0
656,1
657,1
658,0
659,0
660,1
661,0
662,0
663,3
664,1
665,1
666,5
667,1
668,3
669,0
670,1
671,1
672,0
673,1
674,1
675,1
676,3
677,1
678,3
679,3
680,3
681,0
682,0
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,1
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,3
724,0
725,3
726,6
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,1
735,1
736,3
737,3
738,1
739,0
740,1
741,0
742,0
743,0
744,1
745,1
746,8
747,1
748,1
749,1
750,0
751,1
752,1
753,3
754,3
755,0
756,3
757,8
758,0
759,0
760,1
761,6
762,0
763,0
764,0
765,0
766,0
767,1
768,0
769,1
770,0
771,1
772,1
773,0
774,1
775,1
776,1
777,1
778,1
779,0
780,1
781,1
782,0
783,0
784,0
785,1
786,1
787,1
788,0
789,1
790,0
791,0
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,3
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,1
811,1
812,1
813,1
814,0
815,0
816,0
817,0
818,0
819,1
820,1
821,1
822,1
823,1
824,0
825,0
826,0
827,0
828,1
829,0
830,1
831,0
832,0
833,3
834,0
835,0
836,3
837,0
838,0
839,1
840,0
841,3
842,0
843,1
844,1
845,1
846,1
847,1
848,8
849,0
850,1
851,1
852,1
853,1
854,1
855,1
856,0
857,2
858,1
859,0
860,2
861,2
862,2
863,2
864,2
865,2
866,1
867,1
868,1
869,1
870,1
871,1
872,0
873,1
874,3
875,3
876,3
877,3
878,1
879,0
880,1
881,1
882,0
883,2
884,0
885,0
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,0
894,0
895,1
896,0
897,2
898,2
899,1
900,0
901,2
902,1
903,2
904,2
905,1
906,0
907,1
908,1
909,1
910,0
911,1
912,0
913,1
914,0
915,1
916,0
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,0
927,1
928,0
929,1
930,1
931,1
932,1
933,0
934,6
935,6
936,6
937,1
938,1
939,0
940,0
941,1
942,2
943,0
944,0
945,0
946,6
947,0
948,2
949,6
950,1
951,1
952,1
953,1
954,1
955,0
956,0
957,0
958,2
959,2
960,0
961,0
962,2
963,0
964,2
965,2
966,1
967,1
968,2
969,2
970,1
971,1
972,2
973,1
974,1
975,2
976,2
977,1
978,2
979,2
980,1
981,0
982,2
983,2
984,2
985,0
986,6
987,0
988,6
989,1
990,1
991,1
992,6
993,0
994,1
995,1
996,1
997,1
998,2
999,1
1000,1
1001,1
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,2
1011,0
1012,0
1013,0
1014,2
1015,0
1016,2
1017,1
1018,0
1019,0
1020,0
1021,1
1022,6
1023,6
1024,2
1025,0
1026,0
1027,0
1028,0
1029,1
1030,2
1031,0
1032,0
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,2
1040,2
1041,2
1042,2
1043,2
1044,2
1045,2
1046,2
1047,2
1048,2
1049,7
1050,2
1051,0
1052,2
1053,1
1054,1
1055,0
1056,1
1057,0
