#eQual Cluster Screening Summary
#threshold,n_clusters,top_10_combined,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
5.0,16,0.938510,0.268789,0.175137,0.171638,0.081653,0.080820,0.060657,0.040493,0.020330,0.019997,0.018997
5.1,17,0.959007,0.282620,0.201800,0.115981,0.108982,0.064823,0.063156,0.054491,0.030662,0.023496,0.012998
5.199999999999999,14,0.981836,0.295117,0.195467,0.189802,0.100483,0.053158,0.052825,0.050992,0.016164,0.014831,0.012998
5.299999999999999,15,0.967005,0.304283,0.235127,0.192801,0.082653,0.053158,0.037994,0.016664,0.014998,0.014998,0.014331
5.399999999999999,15,0.979670,0.316281,0.229295,0.191801,0.066156,0.053658,0.052658,0.036827,0.014664,0.009832,0.008499
5.499999999999998,13,0.976671,0.329945,0.213298,0.143809,0.100817,0.057157,0.047659,0.034661,0.023163,0.013831,0.012331
5.599999999999998,12,0.983169,0.341443,0.256457,0.222630,0.041660,0.038494,0.028329,0.019163,0.015497,0.011165,0.008332
5.6999999999999975,14,0.983336,0.351941,0.230628,0.146476,0.080820,0.054658,0.039327,0.023496,0.023163,0.020997,0.011831
5.799999999999997,11,0.995667,0.414931,0.361940,0.078487,0.037494,0.034161,0.021830,0.020663,0.011665,0.007999,0.006499
5.899999999999997,12,0.993168,0.373271,0.334778,0.120313,0.080653,0.030328,0.024496,0.008832,0.008665,0.006166,0.005666
