# Numer of clusters,6
# Frame Index,Cluster Index
5192,0
4629,0
5323,0
4632,0
629,0
623,0
587,0
5007,0
3456,0
5205,0
5204,0
3113,1
3947,1
3104,1
3103,1
3102,1
3098,1
3097,1
3819,1
3964,1
3968,1
3080,1
2267,2
2263,2
2207,2
2208,2
2218,2
2224,2
2228,2
2238,2
2216,2
2257,2
2261,2
3805,3
2484,3
2183,3
434,3
431,3
427,3
3832,3
279,3
3809,3
4479,3
3752,3
4501,4
4528,4
5446,4
2646,4
116,4
2143,4
2301,4
2605,4
2610,4
2630,4
2647,4
530,5
3644,5
2771,5
2799,5
3510,5
3551,5
3556,5
3581,5
3618,5
3657,5
45,5
