# init_type: comp_sim, Number of clusters: 60
# Frame Index, Cluster Index
0,38
1,44
2,2
3,38
4,38
5,46
6,46
7,24
8,14
9,14
10,10
11,38
12,24
13,24
14,46
15,38
16,46
17,38
18,1
19,40
20,8
21,46
22,21
23,24
24,21
25,21
26,34
27,17
28,14
29,34
30,11
31,38
32,1
33,14
34,2
35,34
36,1
37,21
38,34
39,16
40,1
41,1
42,1
43,24
44,24
45,2
46,2
47,21
48,21
49,21
50,23
51,23
52,23
53,24
54,24
55,24
56,22
57,22
58,1
59,24
60,22
61,16
62,45
63,45
64,22
65,2
66,34
67,16
68,2
69,2
70,24
71,49
72,4
73,4
74,38
75,45
76,45
77,45
78,40
79,36
80,36
81,40
82,36
83,34
84,24
85,36
86,24
87,34
88,29
89,10
90,45
91,26
92,4
93,27
94,27
95,26
96,4
97,24
98,10
99,10
100,0
101,0
102,45
103,26
104,26
105,24
106,26
107,26
108,9
109,9
110,43
111,9
112,21
113,21
114,22
115,6
116,0
117,45
118,9
119,9
120,36
121,9
122,9
123,46
124,29
125,17
126,36
127,36
128,46
129,46
130,36
131,27
132,27
133,46
134,7
135,45
136,1
137,1
138,1
139,1
140,1
141,1
142,7
143,7
144,17
145,9
146,1
147,46
148,46
149,7
150,3
151,1
152,1
153,0
154,0
155,0
156,28
157,26
158,26
159,26
160,1
161,1
162,17
163,0
164,0
165,46
166,1
167,46
168,46
169,0
170,0
171,9
172,0
173,1
174,11
175,9
176,11
177,1
178,45
179,45
180,17
181,45
182,38
183,45
184,38
185,17
186,33
187,26
188,11
189,1
190,1
191,1
192,45
193,11
194,9
195,11
196,11
197,25
198,45
199,45
200,25
201,0
202,18
203,18
204,0
205,0
206,18
207,0
208,0
209,11
210,11
211,11
212,38
213,9
214,35
215,38
216,38
217,18
218,18
219,38
220,36
221,36
222,1
223,38
224,36
225,1
226,11
227,9
228,33
229,36
230,9
231,27
232,31
233,36
234,36
235,31
236,31
237,0
238,36
239,25
240,45
241,27
242,0
243,25
244,11
245,11
246,11
247,45
248,11
249,25
250,25
251,45
252,45
253,45
254,11
255,41
256,11
257,9
258,35
259,9
260,9
261,10
262,10
263,35
264,6
265,35
266,9
267,35
268,17
269,35
270,46
271,46
272,1
273,1
274,1
275,40
276,1
277,1
278,35
279,13
280,41
281,1
282,1
283,1
284,3
285,9
286,6
287,6
288,21
289,9
290,9
291,35
292,40
293,9
294,36
295,26
296,26
297,6
298,30
299,6
300,40
301,45
302,45
303,36
304,36
305,9
306,3
307,9
308,9
309,9
310,36
311,3
312,9
313,9
314,17
315,17
316,9
317,36
318,9
319,27
320,8
321,36
322,36
323,3
324,2
325,8
326,2
327,8
328,2
329,8
330,3
331,23
332,2
333,24
334,1
335,29
336,24
337,2
338,24
339,2
340,33
341,33
342,46
343,1
344,10
345,46
346,46
347,10
348,3
349,21
350,3
351,3
352,3
353,21
354,2
355,38
356,33
357,33
358,31
359,31
360,9
361,9
362,9
363,10
364,42
365,42
366,44
367,41
368,41
369,44
370,44
371,21
372,24
373,33
374,9
375,9
376,9
377,44
378,36
379,8
380,9
381,36
382,8
383,9
384,8
385,9
386,36
387,36
388,33
389,9
390,6
391,36
392,36
393,6
394,6
395,6
396,18
397,43
398,32
399,9
400,3
401,33
402,6
403,33
404,49
405,8
406,44
407,44
408,6
409,26
410,8
411,4
412,3
413,33
414,33
415,33
416,44
417,44
418,8
419,8
420,2
421,7
422,2
423,15
424,44
425,44
426,6
427,13
428,44
429,10
430,44
431,13
432,3
433,3
434,29
435,3
436,8
437,3
438,3
439,8
440,36
441,3
442,23
443,3
444,3
445,7
446,2
447,3
448,8
449,6
450,7
451,8
452,6
453,46
454,44
455,2
456,3
457,2
458,33
459,46
460,4
461,13
462,4
463,33
464,2
465,5
466,8
467,4
468,2
469,28
470,8
471,8
472,8
473,7
474,7
475,28
476,38
477,8
478,5
479,29
480,22
481,7
482,10
483,6
484,22
485,13
486,13
487,49
488,7
489,26
490,26
491,32
492,7
493,26
494,26
495,32
496,26
497,26
498,17
499,26
500,26
501,32
502,26
503,32
504,32
505,32
506,32
507,22
508,13
509,22
510,3
511,32
512,32
513,27
514,46
515,32
516,32
517,32
518,8
519,6
520,6
521,8
522,32
523,7
524,7
525,7
526,2
527,3
528,2
529,2
530,2
531,23
532,32
533,8
534,8
535,27
536,8
537,7
538,7
539,7
540,7
541,13
542,13
543,13
544,13
545,13
546,6
547,7
548,29
549,49
550,7
551,10
552,10
553,7
554,8
555,8
556,6
557,10
558,6
559,6
560,6
561,2
562,3
563,8
564,2
565,6
566,3
567,6
568,4
569,8
570,8
571,4
572,28
573,4
574,6
575,28
576,6
577,8
578,3
579,4
580,3
581,3
582,4
583,28
584,21
585,3
586,10
587,3
588,6
589,6
590,6
591,6
592,1
593,6
594,6
595,6
596,35
597,35
598,6
599,43
600,6
601,28
602,43
603,21
604,10
605,10
606,3
607,10
608,10
609,6
610,3
611,8
612,6
613,6
614,33
615,14
616,3
617,41
618,10
619,41
620,41
621,32
622,32
623,10
624,32
625,8
626,41
627,6
628,6
629,10
630,10
631,6
632,33
633,3
634,6
635,10
636,6
637,8
638,3
639,3
640,7
641,3
642,3
643,3
644,33
645,30
646,30
647,30
648,5
649,7
650,8
651,41
652,29
653,6
654,29
655,41
656,6
657,10
658,8
659,8
660,6
661,8
662,8
663,42
664,6
665,6
666,28
667,10
668,10
669,5
670,17
671,17
672,5
673,3
674,43
675,3
676,10
677,4
678,3
679,6
680,6
681,6
682,6
683,6
684,10
685,10
686,57
687,3
688,57
689,3
690,0
691,10
692,57
693,3
694,17
695,57
696,57
697,5
698,0
699,5
700,38
701,44
702,5
703,5
704,0
705,38
706,0
707,5
708,5
709,0
710,5
711,6
712,29
713,6
714,57
715,57
716,6
717,3
718,3
719,3
720,3
721,3
722,3
723,42
724,5
725,42
726,42
727,8
728,0
729,0
730,0
731,0
732,31
733,6
734,7
735,4
736,7
737,7
738,7
739,0
740,17
741,0
742,0
743,0
744,7
745,16
746,3
747,7
748,7
749,3
750,0
751,6
752,3
753,3
754,7
755,31
756,3
757,33
758,5
759,57
760,17
761,42
762,31
763,31
764,57
765,31
766,31
767,17
768,42
769,3
770,8
771,37
772,13
773,5
774,37
775,37
776,30
777,6
778,17
779,31
780,17
781,37
782,57
783,57
784,57
785,37
786,37
787,37
788,5
789,17
790,31
791,31
792,42
793,10
794,10
795,6
796,17
797,24
798,24
799,7
800,10
801,6
802,57
803,42
804,42
805,42
806,42
807,5
808,57
809,5
810,6
811,6
812,10
813,57
814,5
815,5
816,5
817,5
818,5
819,14
820,14
821,57
822,57
823,14
824,57
825,31
826,31
827,5
828,17
829,40
830,14
831,31
832,31
833,10
834,31
835,31
836,3
837,31
838,31
839,14
840,31
841,10
842,31
843,14
844,14
845,29
846,7
847,7
848,53
849,31
850,17
851,16
852,4
853,4
854,4
855,4
856,9
857,2
858,23
859,9
860,23
861,23
862,23
863,23
864,2
865,23
866,9
867,9
868,9
869,9
870,3
871,4
872,57
873,3
874,49
875,3
876,3
877,3
878,16
879,31
880,7
881,10
882,9
883,49
884,9
885,41
886,4
887,4
888,4
889,14
890,14
891,14
892,14
893,0
894,0
895,46
896,46
897,46
898,46
899,9
900,31
901,46
902,14
903,2
904,46
905,27
906,31
907,17
908,26
909,26
910,31
911,9
912,8
913,26
914,8
915,14
916,8
917,26
918,0
919,26
920,26
921,14
922,4
923,14
924,26
925,14
926,0
927,27
928,0
929,27
930,27
931,33
932,26
933,8
934,50
935,32
936,50
937,7
938,4
939,11
940,11
941,26
942,2
943,40
944,40
945,31
946,50
947,31
948,2
949,50
950,35
951,14
952,16
953,26
954,17
955,11
956,11
957,31
958,47
959,47
960,11
961,11
962,47
963,11
964,47
965,47
966,14
967,46
968,47
969,47
970,14
971,14
972,47
973,14
974,14
975,47
976,47
977,26
978,47
979,2
980,4
981,31
982,47
983,2
984,2
985,31
986,50
987,31
988,50
989,14
990,14
991,14
992,50
993,31
994,16
995,16
996,16
997,34
998,2
999,27
1000,21
1001,21
1002,31
1003,27
1004,27
1005,31
1006,31
1007,31
1008,5
1009,5
1010,2
1011,38
1012,38
1013,38
1014,2
1015,8
1016,23
1017,16
1018,5
1019,45
1020,5
1021,16
1022,45
1023,45
1024,2
1025,8
1026,8
1027,8
1028,8
1029,9
1030,2
1031,31
1032,31
1033,4
1034,9
1035,45
1036,45
1037,45
1038,9
1039,23
1040,2
1041,2
1042,2
1043,47
1044,47
1045,47
1046,47
1047,47
1048,47
1049,9
1050,47
1051,9
1052,47
1053,9
1054,14
1055,8
1056,14
1057,0
1058,34
1059,26
1060,14
1061,26
1062,42
1063,0
1064,41
1065,42
1066,42
1067,0
1068,0
1069,35
1070,14
1071,42
1072,3
1073,26
1074,26
1075,26
1076,2
1077,2
1078,35
1079,14
1080,27
1081,31
1082,47
1083,47
1084,2
1085,2
1086,2
1087,31
1088,31
1089,31
1090,3
1091,31
1092,17
1093,23
1094,23
1095,31
1096,31
1097,44
1098,2
1099,2
1100,27
1101,14
1102,3
1103,3
1104,3
1105,3
1106,13
1107,13
1108,31
1109,2
1110,2
1111,14
1112,14
1113,27
1114,14
1115,7
1116,14
1117,2
1118,2
1119,7
1120,23
1121,23
1122,2
1123,27
1124,23
1125,23
1126,16
1127,1
1128,40
1129,16
1130,16
1131,14
1132,34
1133,29
1134,4
1135,9
1136,13
1137,13
1138,29
1139,14
1140,11
1141,40
1142,40
1143,11
1144,14
1145,11
1146,40
1147,40
1148,24
1149,40
1150,47
1151,40
1152,40
1153,40
1154,40
1155,14
1156,14
1157,14
1158,14
1159,17
1160,14
1161,27
1162,17
1163,16
1164,40
1165,2
1166,16
1167,11
1168,11
1169,16
1170,11
1171,16
1172,11
1173,16
1174,2
1175,2
1176,10
1177,29
1178,26
1179,29
1180,23
1181,2
1182,11
1183,2
1184,0
1185,2
1186,0
1187,0
1188,17
1189,16
1190,16
1191,0
1192,3
1193,3
1194,23
1195,2
1196,10
1197,2
1198,3
1199,10
1200,13
1201,1
1202,1
1203,1
1204,0
1205,15
1206,49
1207,13
1208,16
1209,13
1210,0
1211,16
1212,17
1213,15
1214,4
1215,1
1216,0
1217,3
1218,3
1219,15
1220,15
1221,27
1222,16
1223,3
1224,16
1225,1
1226,45
1227,15
1228,4
1229,33
1230,13
1231,13
1232,8
1233,33
1234,8
1235,3
1236,33
1237,3
1238,0
1239,45
1240,15
1241,15
1242,0
1243,16
1244,3
1245,0
1246,0
1247,0
1248,33
1249,0
1250,16
1251,0
1252,11
1253,11
1254,33
1255,33
1256,33
1257,11
1258,0
1259,0
1260,0
1261,33
1262,0
1263,23
1264,1
1265,1
1266,23
1267,16
1268,4
1269,2
1270,1
1271,35
1272,2
1273,35
1274,35
1275,11
1276,11
1277,35
1278,35
1279,4
1280,11
1281,11
1282,2
1283,2
1284,2
1285,2
1286,15
1287,15
1288,1
1289,1
1290,1
1291,11
1292,2
1293,11
1294,2
1295,1
1296,1
1297,15
1298,15
1299,15
1300,16
1301,16
1302,16
1303,1
1304,16
1305,16
1306,1
1307,1
1308,26
1309,16
1310,11
1311,16
1312,15
1313,15
1314,4
1315,18
