# init_type: comp_sim_my_rep, Number of clusters: 6
# Frame Index, Cluster Index
0,5
1,1
2,5
3,5
4,5
5,2
6,2
7,5
8,2
9,2
10,1
11,5
12,1
13,1
14,2
15,5
16,2
17,5
18,0
19,0
20,0
21,2
22,1
23,5
24,1
25,5
26,5
27,1
28,2
29,5
30,4
31,5
32,0
33,2
34,5
35,5
36,0
37,1
38,5
39,1
40,0
41,0
42,0
43,1
44,1
45,5
46,5
47,1
48,1
49,1
50,5
51,5
52,5
53,1
54,1
55,1
56,2
57,2
58,0
59,1
60,2
61,2
62,0
63,0
64,2
65,5
66,5
67,2
68,5
69,5
70,5
71,5
72,1
73,1
74,2
75,3
76,3
77,3
78,0
79,0
80,0
81,5
82,0
83,5
84,2
85,0
86,1
87,1
88,1
89,1
90,3
91,2
92,1
93,2
94,2
95,2
96,1
97,2
98,1
99,1
100,4
101,4
102,3
103,5
104,5
105,2
106,5
107,5
108,0
109,0
110,1
111,0
112,5
113,5
114,2
115,2
116,4
117,3
118,3
119,0
120,0
121,3
122,3
123,2
124,2
125,1
126,0
127,0
128,2
129,2
130,0
131,1
132,1
133,5
134,1
135,3
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,5
148,5
149,1
150,1
151,0
152,0
153,4
154,4
155,4
156,3
157,0
158,0
159,0
160,0
161,0
162,1
163,4
164,4
165,5
166,0
167,2
168,0
169,4
170,4
171,0
172,4
173,0
174,4
175,0
176,4
177,0
178,3
179,3
180,1
181,3
182,5
183,0
184,5
185,2
186,2
187,2
188,4
189,0
190,0
191,0
192,3
193,4
194,0
195,4
196,4
197,0
198,3
199,3
200,0
201,4
202,0
203,0
204,4
205,4
206,0
207,4
208,4
209,4
210,4
211,4
212,5
213,0
214,2
215,5
216,5
217,0
218,0
219,5
220,0
221,0
222,0
223,5
224,0
225,0
226,4
227,0
228,2
229,0
230,0
231,2
232,3
233,0
234,0
235,3
236,3
237,4
238,0
239,0
240,0
241,2
242,4
243,0
244,4
245,4
246,4
247,0
248,4
249,0
250,0
251,3
252,0
253,3
254,4
255,0
256,4
257,2
258,2
259,2
260,2
261,1
262,1
263,2
264,1
265,2
266,0
267,2
268,1
269,2
270,5
271,5
272,0
273,0
274,0
275,5
276,0
277,0
278,2
279,2
280,0
281,0
282,0
283,0
284,1
285,2
286,1
287,1
288,5
289,0
290,0
291,2
292,5
293,0
294,0
295,0
296,2
297,1
298,3
299,1
300,4
301,3
302,0
303,0
304,0
305,2
306,1
307,0
308,0
309,0
310,5
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,2
320,0
321,0
322,0
323,1
324,5
325,0
326,5
327,0
328,5
329,0
330,1
331,5
332,5
333,2
334,4
335,2
336,2
337,5
338,2
339,5
340,2
341,2
342,5
343,4
344,1
345,5
346,5
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,5
355,5
356,2
357,2
358,5
359,0
360,0
361,0
362,0
363,1
364,3
365,3
366,3
367,0
368,0
369,3
370,3
371,1
372,1
373,1
374,0
375,0
376,0
377,3
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,3
386,5
387,5
388,5
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,3
398,3
399,0
400,1
401,5
402,1
403,2
404,5
405,0
406,3
407,3
408,1
409,2
410,0
411,1
412,1
413,5
414,5
415,5
416,1
417,3
418,0
419,0
420,5
421,1
422,5
423,0
424,3
425,3
426,1
427,2
428,1
429,1
430,1
431,2
432,1
433,1
434,2
435,1
436,0
437,1
438,1
439,0
440,0
441,1
442,5
443,1
444,1
445,1
446,5
447,1
448,0
449,1
450,1
451,0
452,3
453,2
454,1
455,5
456,1
457,5
458,1
459,5
460,1
461,2
462,1
463,1
464,5
465,0
466,0
467,1
468,5
469,3
470,0
471,0
472,0
473,1
474,1
475,3
476,3
477,0
478,0
479,2
480,2
481,1
482,1
483,1
484,3
485,2
486,2
487,1
488,1
489,2
490,2
491,3
492,1
493,2
494,2
495,3
496,0
497,2
498,1
499,0
500,2
501,3
502,2
503,2
504,2
505,2
506,3
507,2
508,2
509,2
510,1
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,0
519,2
520,3
521,0
522,2
523,1
524,1
525,1
526,5
527,1
528,5
529,5
530,5
531,5
532,2
533,0
534,0
535,1
536,0
537,1
538,1
539,1
540,1
541,2
542,2
543,2
544,2
545,2
546,1
547,1
548,2
549,1
550,1
551,1
552,1
553,1
554,0
555,0
556,1
557,1
558,2
559,1
560,1
561,5
562,1
563,0
564,5
565,1
566,1
567,1
568,1
569,0
570,0
571,1
572,3
573,1
574,1
575,3
576,1
577,0
578,1
579,1
580,1
581,1
582,1
583,3
584,5
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,4
593,1
594,1
595,1
596,2
597,2
598,1
599,3
600,1
601,3
602,2
603,5
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,2
616,1
617,0
618,1
619,0
620,0
621,3
622,3
623,1
624,3
625,0
626,0
627,2
628,1
629,1
630,1
631,2
632,2
633,1
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,3
646,3
647,3
648,0
649,1
650,0
651,0
652,2
653,1
654,2
655,0
656,1
657,1
658,0
659,0
660,1
661,0
662,0
663,3
664,1
665,1
666,5
667,1
668,1
669,0
670,2
671,1
672,0
673,1
674,2
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,3
687,1
688,3
689,1
690,4
691,1
692,2
693,1
694,2
695,3
696,3
697,0
698,4
699,0
700,3
701,1
702,0
703,0
704,4
705,5
706,4
707,0
708,0
709,4
710,0
711,1
712,2
713,1
714,3
715,2
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,0
725,3
726,3
727,0
728,4
729,4
730,4
731,4
732,3
733,2
734,1
735,1
736,1
737,1
738,1
739,4
740,1
741,4
742,4
743,4
744,1
745,2
746,1
747,1
748,1
749,1
750,4
751,1
752,1
753,1
754,1
755,3
756,1
757,1
758,0
759,3
760,1
761,3
762,0
763,0
764,3
765,0
766,0
767,1
768,3
769,1
770,0
771,2
772,2
773,0
774,2
775,2
776,2
777,2
778,1
779,3
780,2
781,2
782,3
783,3
784,3
785,2
786,2
787,1
788,0
789,1
790,3
791,3
792,3
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,3
803,3
804,3
805,3
806,3
807,0
808,2
809,0
810,1
811,1
812,1
813,3
814,0
815,0
816,0
817,0
818,0
819,2
820,2
821,3
822,2
823,2
824,3
825,3
826,3
827,0
828,1
829,5
830,2
831,3
832,3
833,1
834,3
835,3
836,1
837,3
838,5
839,2
840,5
841,1
842,5
843,2
844,2
845,2
846,1
847,1
848,2
849,3
850,1
851,1
852,1
853,1
854,1
855,1
856,0
857,5
858,5
859,0
860,5
861,5
862,5
863,5
864,5
865,5
866,2
867,2
868,0
869,2
870,1
871,1
872,3
873,1
874,1
875,1
876,1
877,1
878,1
879,3
880,1
881,1
882,0
883,5
884,0
885,0
886,1
887,1
888,1
889,2
890,2
891,1
892,2
893,4
894,4
895,2
896,5
897,5
898,5
899,2
900,3
901,5
902,2
903,5
904,5
905,1
906,3
907,1
908,2
909,2
910,3
911,0
912,0
913,2
914,0
915,2
916,0
917,2
918,4
919,2
920,2
921,1
922,1
923,2
924,5
925,1
926,4
927,1
928,4
929,1
930,1
931,2
932,2
933,0
934,3
935,3
936,3
937,1
938,1
939,4
940,4
941,5
942,5
943,4
944,4
945,3
